Number, Time, Scramble 
242,18.61,U2 D R' U' D B2 L' F' D R B2 R L2 B2 R' B2 D2 F2 D2 F
243,17.20,R2 D2 B' L2 B2 R2 F R2 F' R' F' L2 F D' L2 U R' F2 L'
244,15.00,F R' D' R2 L' U' B2 D' R D' B R2 B' U2 L2 F' U2 R2 L2
245,15.13,F2 D U2 B2 F2 L2 U' L2 U' L2 D F R D' L U F' R2 B2 F' L
246,16.76,R2 D R2 F2 U B2 D' U2 B2 L2 U F' U L' B F D' R2 F' R F'
247,16.25,B R2 B2 R2 U' B2 D U2 R2 D F2 L' B F2 D2 L B F2 D R2
248,16.00,L' D2 B2 D' R2 U' R2 U2 B2 U' R2 F' U F R U2 B2 F' L U
249,15.67,U2 L2 R2 D' B2 D' B2 L2 F2 U L2 B' D2 F2 U B2 D' F' L' B2 F2
250,15.44,B2 L B2 U2 L' F2 D2 L' D2 F2 B D' R' B' F' D F U
251,15.90,U2 F' U2 F' D2 B' L2 R2 D2 R2 F' U' B' L2 U' L D' U2 B' U2 F
252,17.75,B2 U' F2 L2 R2 D2 U F2 L2 D2 L U2 F L2 B F' U' F' R B'
253,15.59,R2 B2 D U F2 L2 U' B2 F2 L2 F2 L B' U' L B2 L2 R D2 U' R'
254,16.02,F R' D L' U' D L2 F' B D' R F2 R' U2 L2 F2 U2 R' D2 L B2
255,16.57,F R2 F2 R2 U2 B2 R2 U2 F' R B' D L F2 D' L' F' L2 U'
256,16.49,B2 D2 B R2 B' U2 F' D2 R2 B R2 L U R B L' U' L2 D U2 B2
257,10.62,B2 L2 U2 L2 U' L2 D L2 U' F2 R2 F' D' R D' L F' D2 F2 R U
258,13.77,U2 L2 F R2 D2 F R2 F2 L2 F R2 U L' R2 D' F' D2 F2 R D'
259,16.31,F' B L' F2 R2 B2 L2 D F' R' F2 U2 R' L U2 L2 U2 F2 D2
260,16.97,D2 F B2 D R F R F' R B L2 F2 R2 U2 D F2 R2 D'
261,13.12,D B' U' B' D F' B' U L2 F' R' L' D2 L' D2 B2 U2 R F2
262,15.56,L' U B' R F L U D' R U' F2 D2 R2 B2 D2 R U2 R2 D2 F2 U2
263,17.86,D2 R U F D2 R B R2 D F2 D2 F' U2 B' R2 D2 R2 F2 U2 F
264,14.36,U2 L2 U2 R2 U2 B L2 D2 F' L2 B' R U' L D' F' U L' B2 U2 R
265,15.85,F2 R2 L2 D' L' F' R U2 F2 D' F2 U B2 U F2 U' L2 D B
266,14.91,B2 R2 F2 R D' F' U F2 D B' R2 U' R2 F2 D' R2 D' F2 L2 U2
267,10.24,F L2 B2 D L2 D L2 D R2 B2 L2 F' L' D F' U2 F2 R2 B2 L
268,15.74,R' B2 L U2 L D2 L2 U2 B2 L F2 D' R' F L' B' U2 R D U F
269,14.45,D2 U2 R2 F' D2 B' U2 L2 F2 R B U2 F2 U2 F D B2 D2 B2
270,16.70,R' F2 L U2 R D2 L2 F2 D B2 D R D R B' D L2 D
271,13.47,L2 D2 F' L2 R2 F2 U2 B R2 F U R F' R' D' R2 U2 L' U
272,14.47,F2 D2 B' R2 U2 F' U2 B L2 R2 B' R' D U2 B L F' R2 D' L2 R2
273,16.16,F' B L F' B U' F2 L B D2 L2 U2 L' B2 R2 B2 U2 R' D2 L'
274,15.73,F R' D' R2 F2 B' D' R' F U' R' U2 B2 U2 R U2 R' B2 R' D2 F2
275,18.55,R' F' D' B' L U R F L' U' B2 R2 U' B2 U2 F2 D2 L2 F2 B'
276,12.92,D B2 L2 B R F2 U R2 U F R2 F2 R2 U D2 R2 U' D'
277,12.63,R U2 L' F2 U2 L2 F2 R' B2 D' R D' R F D' U B F L'
278,16.20,B' D R2 B2 U B2 D2 U R2 D B2 F L' B' U R2 U F2 D' R2
